well,regime,L,method,seed,log,r2,mae,rmse,n
W04,blackout-long,256,ae,2,all_z,-0.3319,0.6889,0.7946,512
W04,blackout-long,384,ae,2,RHOB,-0.9459,0.0785,0.0908,384
W04,blackout-long,384,ae,2,NPHI,-0.7205,0.0707,0.0794,384
W04,blackout-long,384,ae,2,all,0.9952,0.0746,0.0853,768
W04,blackout-long,384,ae,2,all_z,0.0884,0.6210,0.7124,768
W04,blackout-long,512,ae,2,RHOB,-0.1308,0.0839,0.1036,512
W04,blackout-long,512,ae,2,NPHI,-0.1832,0.0785,0.0931,512
W04,blackout-long,512,ae,2,all,0.9933,0.0812,0.0985,1024
W04,blackout-long,512,ae,2,all_z,0.0074,0.6783,0.8272,1024
W04,blackout-long,768,ae,2,RHOB,-0.1052,0.0870,0.1093,768
W04,blackout-long,768,ae,2,NPHI,-0.1817,0.0897,0.1026,768
W04,blackout-long,768,ae,2,all,0.9921,0.0884,0.1060,1536
W04,blackout-long,768,ae,2,all_z,-0.0872,0.7452,0.8974,1536
W04,blackout-long,1024,ae,2,RHOB,0.0606,0.1083,0.1464,1024
