method,scenario,log,seed,mae,rmse,r2,cc,n
mean,single,NPHI,1,0.0906102626969417,0.10682119526792598,-0.04555085485638233,-0.2913916499690713,1500
mean,block,all,1,9.574225246539914,20.421316499030887,0.5753498285688776,0.7585504961976576,48360
mean,block,GR,1,29.491831392623645,35.97794928628042,-0.02566827422153195,-0.35411873498421714,15580
mean,block,RHOB,1,0.1316333248236469,0.1700154918956801,-0.08329075409186659,-0.42842224569111964,14980
mean,block,NPHI,1,0.08735576515368532,0.10438021506563593,-0.04313863397016515,-0.24359961841366715,17800
mean,profile,all,1,9.27543784984585,19.88524478188148,0.575056448916633,0.7587254424346551,205312
mean,profile,GR,1,29.405720965380212,35.54468043128988,-0.022472205089600017,-0.29412168723731097,64256
mean,profile,RHOB,1,0.12233437297480373,0.1568025659044199,-0.07830720218812015,-0.3388080960489529,66816
mean,profile,NPHI,1,0.09012386868798158,0.10660403843990264,-0.05847255452374989,-0.37330282685413113,74240
mean,blackout,all,1,10.89480574717089,21.837524651754222,0.5450709226040016,0.7386821727561922,278822
mean,blackout,GR,1,30.04336929429491,36.37693407878523,-0.024708779966911232,-0.3414517329824048,100478
mean,blackout,RHOB,1,0.1276260590684258,0.16329971768782714,-0.08498700530898762,-0.3821913278641237,84464
mean,blackout,NPHI,1,0.08770835782235792,0.10420345290374171,-0.05169425963579943,-0.3134141593897462,93880
mice,single,all,1,5.4963518800625675,14.010005862104952,0.787520606720775,0.8881718312243778,3981
mice,single,GR,1,18.292220444466352,25.656859639383743,0.42854298610350106,0.6574042325920281,1187
mice,single,RHOB,1,0.07598140610056646,0.10616648233692899,0.5742100344081575,0.759842433845671,1294
mice,single,NPHI,1,0.04652748496892552,0.059882398806583796,0.6714294205738808,0.8199972768277788,1500
mice,block,all,1,6.532834975511566,15.807431552452949,0.7455593765126627,0.8635566289735236,48360
mice,block,GR,1,20.153485738439187,27.849454661122913,0.3854354539345719,0.6212043080417945,15580
mice,block,RHOB,1,0.07527675020678817,0.10432790428965402,0.5920856244683258,0.7696140623432691,14980
mice,block,NPHI,1,0.04544639846961422,0.05874992433658146,0.6695389496495187,0.8187918514053022,17800
mice,profile,all,1,6.131020442468735,15.063062524022332,0.756165071136938,0.869640959463387,205312
mice,profile,GR,1,19.458349373500027,26.92521517214807,0.41329383972248146,0.643164636126876,64256
mice,profile,RHOB,1,0.07500287889542194,0.09997719856326193,0.5616327486843671,0.7498738282743748,66816
mice,profile,NPHI,1,0.04640327834384089,0.0614409922883354,0.6484001110646032,0.8054254704844954,74240
mice,blackout,all,1,11.253017918824678,23.38736741712841,0.4782054283500745,0.7092482497760803,278822
mice,blackout,GR,1,31.055613958399352,38.958784514316605,-0.17532796269542894,0.20245716609173042,100478
mice,blackout,RHOB,1,0.11728569189748839,0.15330934056668918,0.043707168851020106,0.24810803402876722,84464
mice,blackout,NPHI,1,0.07750920504958556,0.09239569529647196,0.17314613787575783,0.45584659431704405,93880
rf,single,all,1,7.328256112174102,17.714866776458276,0.6602840289803802,0.8357780551034859,3981
rf,single,GR,1,24.42901831589131,32.4417732033487,0.08633762971763304,0.4800218665200583,1187
rf,single,RHOB,1,0.07934831660903034,0.11452170540948879,0.5045541670704998,0.7271890055205708,1294
rf,single,NPHI,1,0.049244079940021036,0.06454497098752221,0.6182710348461278,0.7915723821659216,1500
rf,block,all,1,8.423796102947739,19.83559129033114,0.5993601602686716,0.7961169003864444,48360
